id	comma-separated identified biomolecules	patent name	patent title	patent abstract
39284209	hhv domain,singledomain antibody,sdab,hiv1 nef,simple heavy chain	US9512203	Single-domain antibodies that bind to HIV-1 Nef with high affinity	The invention relates to antibody fragments with simple heavy chain or sdAbs, characterized in that they consist of anti HIV Nef-protein fragments corresponding to all or a portion of the HHV domains of camelids, particularly llamas.
39402610	interleukin6 receptor,il6r,il6,il6/il6r complex,il6/il6 receptor complex,for complexes,interleukin6	WO2008071685	POLYPEPTIDES SPECIFIC FOR COMPLEXES INVOLVED IN RECEPTOR-MEDIATED SIGNALING, SUCH AS THE IL-6/IL-6 RECEPTOR COMPLEX	"The present invention relates to polypeptides that can be used to prevent or treat diseases and disorders relating to and/or associated with interleukin-6 (\IL-6\""), with the interleukin-6 receptor (\""IL-6R\"") and/or with the IL-6/IL-6R complex."""
39409803	\u201ctcell target\u201d	US10208115	Amino acid sequences that modulate the interaction between cells of the immune system	The present invention relates to amino acid sequences that block the interaction between (a target on) an antigen presenting cell (APC) and (a target on) a T-cell. More particularly, the present invention relates to amino acid sequences that are directed against (as defined herein) a target on an APC (also referred to herein as \u201cAPC target\u201d) or a target on a T-cell (also referred to herein as \u201cT-cell target\u201d). The invention further relates to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences.
39445814	chemokine	US8906680	Amino acid sequences directed against chemokines and polypeptides comprising the same for the treatment of chemokine-related diseases and disorders	The present invention relates to amino acid sequences that are directed against chemokines, as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences. The invention also relates to nucleic acids encoding such amino acid sequences and polypeptides; to methods for preparing such amino acid sequences and polypeptides; to host cells expressing or capable of expressing such amino acid sequences or polypeptides; to compositions, and in particular to pharmaceutical compositions, that comprise such amino acid sequences, polypeptides, nucleic acids and/or host cells; and to uses of such amino acid sequences or polypeptides, nucleic acids, host cells and/or compositions, in particular for prophylactic, therapeutic or diagnostic purposes.
39446079	amino acid sequence,binding molecule,bind molecule,third naturally occur bind molecule	WO2009030285	BINDING MOLECULES WITH MULTIPLE BINDING SITES, COMPOSITIONS COMPRISING THE SAME AND USES THEREOF	The present invention relates to binding molecules, such as amino acid sequences with multiple antigen binding sites. In particular, the binding molecules of the present invention have at least two antigen binding sites that partially or fully overlap with each other and that are directed against at least two different naturally occurring binding molecules. The invention further relates to uses of such binders, for example in methods for inhibiting and/or blocking of the interaction between said at least two naturally occurring binding molecules and a third naturally occurring binding molecule.
39536785	gprotein couple receptor,gpcr	EP2557090	Amino acid sequences directed against GPCRs and polypeptides comprising the same for the treatment of GPCR-related diseases and disorders	The present invention relates to amino acid sequences that are directed G-protein coupled receptors (GPCRs), as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences. The invention also relates to nucleic acids encoding such amino acid sequences and polypeptides to methods for preparing such amino acid sequences and polypeptides; to host cells expressing or capable of expressing such amino acid sequences, polypeptides; to compositions, and in particular to pharmaceutical compositions, that comprise such amino acid sequences, polypeptides, nucleic acids and/or host cells; and to uses of such amino acid sequences or polypeptides, nucleic acids, host cells and/or compositions, in particular for prophylactic, therapeutic or diagnostic purposes, such as the prophylactic, therapeutic or diagnostic purposes mentioned herein.
39536786	amino acid sequence,adam family,metalloproteinase,metalloproteinas	US9156914	Amino acid sequences directed against a metalloproteinase from the ADAM family and polypeptides comprising the same for the treatment of ADAM-related diseases and disorders	The present application relates to amino acid sequences that are directed against and/or that can specifically bind to metalloproteinases from the ADAM family, as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences, and to methods of preparing the same.
39536788	immunoglobulin,nanobodiestm,anti-fc-receptor single domain antibodies,fc receptor	WO2008074867	ANTI-FC-RECEPTOR SINGLE DOMAIN ANTIBODIES (NANOBODIES-TM) AND THERAPEUTIC USE	The present invention relates to amino acid sequences that are directed against (as defined herein) receptors for proteins with an immunoglobulin fold (Fc receptors), as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences. The invention also relates to nucleic acids encoding such amino acid sequences and polypeptides; to methods for preparing such amino acid sequences and polypeptides; to host cells expressing or capable of expressing such amino acid sequences or polypeptides; to compositions, and in particular to pharmaceutical compositions, that comprise such amino acid sequences, polypeptides, nucleic acids and/or host cells; and to uses of such amino acid sequences or polypeptides, nucleic acids, host cells and/or compositions, in particular for prophylactic, therapeutic or diagnostic puiposes, such as the prophylactic, therapeutic or diagnostic purposes mentioned herein.
39598555	intracellular antibody,vhh,camel heavy chain antibody	JP2008136455	IDENTIFICATION OF PROTEIN CONTROLLING CREATION OF ANTIBODY FUNCTIONING IN CELL AND CELL PHENOTYPE	PROBLEM TO BE SOLVED: To provide a gene therapeutic composition against malignant cancer cells by identifying a factor deciding the phenotype of cells such as the cancer cells and obtaining an intracellular antibody specific to the factor, and also an expression library and a method for screening the same. ;SOLUTION: This intracellular antibody inhibiting (activating) the change of phenotype of the cells is obtained by a screening method comprising a process of constructing a heavy chain variable region (VHH) expression library by randomizing the part of sequence of the VHH of a camel heavy chain antibody, and determining the sequence of the randomized part by isolating the VHH in the cells of expressing the change of the phenotype in cultured cells transformed by using the expression library. By using the intracellular antibody, it is possible to identify an intracellular physiologically active substance controlling the phenotype of the cells, and provide a gene therapeutic composition of the cancer by using a vector expressing the intracellular antibody. ;COPYRIGHT: (C)2008,JPO&INPIT
39688792	amino acid sequence,vascular endothelial growth factor,vegf	WO2008101985	AMINO ACID SEQUENCES DIRECTED AGAINST VASCULAR ENDOTHELIAL GROWTH FACTOR AND POLYPEPTIDES COMPRISING THE SAME FOR THE TREATMENT OF CONDITIONS AND DISEASES CHARACTERIZED BY EXCESSIVE AND/OR PATHOLOGICAL ANGIOGENESIS OR NEOVASCULARIZATION	The present invention relates to amino acid sequences that are directed against vascular endothelial growth factor (VEGF), as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences. The amino acid sequences, compounds and constructs can be used for prophylactic, therapeutic or diagnostic purposes, such as for the treatment of conditions and diseases characterized by excessive and/or pathological angiogenesis or neovascularization.
39689221	mammalian igg,singledomain antigenbinding protein,mammalian igg antibody,antibody,light chain,antigenbinding protein	US9040666	Single-domain antigen-binding proteins that bind mammalian IgG	The present application relates to antigen-binding proteins that are capable of binding to mammalian IgG. The frame-work regions of the antigen-binding proteins of the application preferably correspond to those of antibodies naturally that are devoid of light chains as may e.g. be found in camelids. The application further relates to nucleic acids that encode such antigen-binding proteins, to immunoadsorbent materials that comprise such proteins, to the uses of such immunoadsorbent materials for the purification of mammalian IgG antibodies and for therapeutic apheresis.
39690188	peptidegrafted antibody,camel antibody,zinc oxidebinding antibody	WO2008099968	ZINC OXIDE-BINDING ANTIBODY AND USE THEREOF	Disclosed are: a zinc oxide-binding antibody which has high stability and a high binding activity; and a high-throughput sensing technique such as a biosensor, which utilizes the antibody. Specifically disclosed are: a peptide-grafted antibody having an zinc oxide-recognizing peptide in a CDR H-1 region of a camel antibody; and a solid substrate (a biosensor, a protein chip, or the like) which has a zinc oxide layer having the antibody immobilized thereon.
39707916	vl domain,cdr,vh domain	EP3061768	CAMELID DERIVED ANTIGEN BINDING POLYPEPTIDES COMPRISING A VH AND VL CHAIN	The invention relates to a platform technology for production of antigen binding polypeptides having specificity for a desired target antigen which is based on the conventional antibody repertoire of species in the family Camelidae, and to antigen binding polypeptides obtained using this technology platform. In particular, the invention provides an antigen binding polypeptide comprising a VH domain and a VL domain, wherein at least one hypervariable loop or complementarity determining region (CDR) in the VH domain or the VL domain is obtained from a VH or VL domain of a species in the family Camelidae.
39759045	recombinant antibody	US8623349	SYSTEMS, METHODS AND MICRORGANISMS FOR ANTIBODY PRODUCTION WITH TYPE III SECRETION SYSTEM	Exemplary embodiments disclosed herein include a microorganism that produces, secretes and injects recombinant antibodies into eukaryote cells said the described microorganisms can be used to prepare pharmaceutical compositions for the treatment of human or veterinary diseases.
39769169	human il6 receptor,il6,antibody,immunoglobulin,interleukin6	WO2009010539	RECEPTOR FOR INTERLEUKIN-6 (IL-6) FROM MACACA FASCICULARIS	"The present invention relates to a protein from cynomolgus monkey (Macaca fascicularis) that functions as a receptor for interleukin-6 (\IL-6\""), and to a nucleic acid encoding the same. The present invention further relates to compounds that interact with (as defined herein) said IL-6 receptor protein. Said compounds may be small chemical entities or biological molecules, and may in particular be proteins or polypeptides. More in particular, said compounds may be immunoglobulins or fragments thereof, such as antibodies, antibody fragments (such as Fab' fragments, F(ab')2 fragments and Fv fragments), constructs derived from antibody fragments (such as ScFv fragments and diabodies), or domain antibodies, single domain antibodies, dAb's or Nanobodies. The compounds described herein are preferably cross-reactive with the human IL-6 receptor."""
39794753	cell surface receptor,immunoglobulin single variable domain	US20080241166	Ligands that bind a receptor	The invention relates to ligands, such as immunoglobulin single variable domains, that have binding specificity for a receptor. Preferably the receptor is a cell surface receptor and/or the ligand inhibits the activity of the receptor.
39811441	growth factor receptor,growth factor,growth factor receptors,amino acid sequence,receptor tyrosine kinase,growth factors and their receptors	WO2008142165	AMINO ACID SEQUENCES DIRECTED AGAINST GROWTH FACTOR RECEPTORS AND POLYPEPTIDES COMPRISING THE SAME FOR THE TREATMENT OF DISEASES AND DISORDERS ASSOCIATED WITH GROWTH FACTORS AND THEIR RECEPTORS	The present invention relates to amino acid sequences that are directed against receptors for growth factors, compounds comprising such sequences, as well as nucleic acid sequences encoding the same. In one embodiment the invention relates to amino acid sequences that bind to a receptor tyrosine kinase. The receptor tyrosine kinase and/or growth factor receptor may be of human origin.In one embodiment the amino acid sequences are Nanobodies<TM>.
39811980	antibodies,antibody,antibody fragment	WO2009127519	COMPOSITIONS COMPRISING ANTIBODIES OR ANTIBODY FRAGMENTS	The present invention relates to food products or pharmaceutical preparations comprising a synergistic combination of at least two different antibodies or antibody fragments which are directed against a virus, preferably against rotavirus.
39832948	vhh domain,anibody vhh domain	JP2008212125	STABILIZATION OF VHH DOMAIN OF ANIMAL OF FAMILY CAMELIDAE	PROBLEM TO BE SOLVED: To increase storage stability and heat stability of an antibody of an animal of the family Camelidae. ;SOLUTION: A stabilized antibody of an animal of the family Camelidae is obtained by introducing two cysteine residues into an anibody VHH domain of an animal of the family Camelidae and introducing S-S bond into a space between these cysteine residues. ;COPYRIGHT: (C)2008,JPO&INPIT
39929432	amino acid sequence,vp6,monomeric vhh domain,anti-vp6 camelid antibody	US9371373	Monomeric VHH domain derived from anti-VP6 camelid antibodies, dimeric domain, immunisation method, composition, and treatment methods for rotavirus infections	Monomeric VHH domain derived from anti-VP6 camelid antibodies, dimeric domain, immunization method, and treatment method for rotavirus infections, wherein said domain may be any of the amino acid sequences shown in SEQ ID NO:1, SEQ ID NO:2 or SEQ ID NO:3, and wherein said domains bind to protein VP6 of Group A rotavirus.
40029003	camelid heavychain antibody,variable domain,vhh domain,glial fibrillary acidic protein	US8460888	Variable domains of camelid heavy-chain antibodies directed against glial fibrillary acidic proteins	The present invention relates to the use of variable domains of camelid heavy-chain antibodies (VHH domains) directed against an intracellular target and having an isoelectric point of at least 8.5, for targeting said intracellular target or for the preparation of a peptide vector. Particularly, it concerns VHH domains directed against a glial fibrillary acidic protein and uses thereof for preparing therapeutic or diagnostic agents.
40032219	rankl	US11078290B2	Amino acid sequences directed against RANK-L and polypeptides comprising the same for the treatment of bone diseases and disorders	The present invention relates to amino acid sequences that are directed against RANK-L, as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences. The invention also relates to nucleic acids encoding such amino acid sequences and polypeptides; to methods for preparing such amino acid sequences and polypeptides; to host cells expressing or capable of expressing such amino acid sequences or polypeptides; to compositions, and in particular to pharmaceutical compositions, that comprise such amino acid sequences, polypeptides, nucleic acids and/or host cells; and to uses of such amino acid sequences or polypeptides, nucleic acids, host cells and/or compositions, in particular for prophylactic, therapeutic or diagnostic purposes.
40219323	immunoglobulinderived variable domain,superantigenspecificantigenbinding protein,epitope,antigenbinding proteins that inhibit superantigens,superantigen,antigenbinding protein	WO2010030182	ANTIGEN-BINDING PROTEINS THAT INHIBIT SUPERANTIGENS FOR THE TREATMENT OF SKIN DISEASES	The present invention relates to superantigen-specificantigen-binding proteins comprising an immunoglobulin-derived variable domain that comprises a complete antigen binding site for an epitope on the superantigen in a single polypeptide chain. The antigen-binding proteins of the invention may be used in the treatment skin diseases. The antigen-binding proteins of the invention may be used in compositions for topical administration.
40226576	single antigenbinding domain,amino acid sequence	US20100292083	PROVIDING IMPROVED IMMUNOGLOBULIN SEQUENCES BY MUTATING CDR AND/OR FR POSITIONS\n	The present invention relates to methods and techniques for providing improved amino acid sequences that can be used as single antigen-binding domains. In particular, the invention relates to methods and techniques for providing improved amino acid sequences that can be used as single antigen-binding domains that comprise or essentially consist of at least one immunoglobulin sequence. More in particular, the amino acid sequences provided herein may comprise or essentially consist of at least one variable domain sequence or a suitable fragment thereof, such as at least one light chain variable domain sequence (e.g. a VL-sequence) or a suitable fragment thereof, or at least one heavy chain variable domain sequence (e.g. a VH-sequence or VHH sequence) or a suitable fragment thereof.
40377235	amino acid sequence,her2,epidermal growth factor receptor 2	US9969805	Amino acid sequences directed against HER2 and polypeptides comprising the same for the treatment of cancers and/or tumors	The present invention relates to amino acid sequences and Nanobodies that are directed against Epidermal Growth Factor Receptor 2 (HER2), as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences.
40491579		KR1020100097720	ANTIGEN-BINDING CONSTRUCTS\n	
40635441	amino acid sequences,il6r	WO2009095489	IMPROVED AMINO ACID SEQUENCES DIRECTED AGAINST IL-6R AND POLYPEPTIDES COMPRISING THE SAME FOR THE TREATMENT OF DISEASES AND DISORDERS ASSOCIATED WITH IL-6-MEDIATED SIGNALLING	The present invention relates to amino acid sequences that are directed against (as defined herein) Interleukin-6 Receptor (IL-6R), as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences.
40668459	amino acid sequence,epithelial transporter,epitope,single variable domain	WO2009080764	ORAL OR NASAL ADMINISTRATION OF COMPOUNDS COMPRISING AMINO ACID SEQUENCES	The present invention relates to compounds comprising amino acid sequences such as single variable domains for oral or nasal administration and pharmaceutical compositions comprising said compounds. More particularly, the invention relates to compounds wherein binding to at least one of the antigens or epitopes selected from the group of epithelial transporters act to increase the bioavailability of the compound in vivo. The present invention furthermore provides various additional methods to enhance bioavailability of said compounds of the invention when using oral or nasal administration.
40674029	nfd,`` nonfuseddimer,make these complex,homodimer,heterodimer,novel antigen binding dimercomplexes,single variable domain,dimercomplex	WO2009109635	NOVEL ANTIGEN BINDING DIMER-COMPLEXES, METHODS OF MAKING AND USES THEREOF	"In a broad aspect the present invention generally relates to novel dimer-complexes (herein called \non-fused-dimers\"" or NFDs) comprising single variable domains, methods of making these complexes and uses thereof. These non-covalently bound dimer-complexes consist of two identical monomers that each comprises of one or more single variable domains (homodimers) or of two different monomers that each comprises on or more single variable domains (heterodimers). The subject NFDs have typically altered e.g. improved binding characteristics over their monomeric counterpart. The NFDs of the invention may further be engineered through linkage by a flexible peptide or cysteines in order to improve the stability. This invention also describes conditions under which such NFDs are formed and conditions under which the formation of such dimers can be avoided."""
40756394	stabilize proteins,antibody	WO2009095235	METHODS TO STABILIZE PROTEINS AND POLYPEPTIDES	Methods of modifying and in particular stabilizing proteins and polypeptides by which a predetermined amino acid is introduced into selected positions of said protein or polypeptide to produce a small group of mutants. The methods are based on the premise that certain amino acids play a crucial role in the stability of proteins or polypeptides. Generated mutants can then be further analysed for stability and/or function, e.g. affinity. Furthermore, appropriate mutants may be combined to result in further optimized proteins or polypeptides. In addition, stabilized example polypeptides and suitable methods to identify and/or analyse de-stabilized or stabilized proteins or polypeptides are provided. The methods can be used to study the role of specific amino acids in protein structure and function and to develop new or improved, e.g. stabilized proteins and polypeptides such as antibodies and single variable domains.
40756788	notch pathway interfere single variable domain,notch4,jagged family,single variable domain,notch3,jagged2,notch2,`` dll3,deltalike family,`` dll4,notch1,notch receptor,`` dll1,amino acid sequence,`` single variable domain,notch pathway member,notch ligand,mammalian member,jagged1	US8557965	Single variable domains against notch pathway members	"The present invention relates to amino acid sequences (also referred to herein as \single variable domain(s) of the invention\"". \""Nanobody(TM) of the invention\"" or \""Nanobodies(TM) of the invention\"", ilpolypeptide(s) of the invention\"") that are directed against (as defined herein) members of the Notch signalling pathway such as the four mammalian members of the Notch Receptors (Notch-1, Notch-2, Notch-3, Notch-4, hereinafter also \""Notch Receptors\"") and the five mammalian members of the Notch Ligands (the Delta-like family with \""DLL1\"", \""DLL3\"", \""DLL4\"" wherein \""DLL\"" stands for Delta-like ligand;; the Jagged family with \""Jagged-1\"", \""Jagged-2\"", hereinafter also \""Notch Ligands\""), as well as to constructs that comprise or essentially consist of one or more such single variable domain(s) (also referred to herein as \""construct of the invention\"" and \""constructs of the invention\"", \""Nanobody(TM) of the invention\"" or \""Nanobodies(TM) of the invention\"", respectively). In particular, this invention relates to Notch pathway interfering single variable domains down- or up-regulating Notch signaling (also referred to herein \""Notch-antagonists\"" or \""Notch-agonists\"")."""
40863727	single domain,bace1,capable of,antibody,variabledomain antibody,bace1specific antibody	US8568717	SINGLE DOMAIN ANTIBODIES CAPABLE OF MODULATING BACE ACTIVITY	Described are single domain antibodies with a specificity for BACE1. More specifically, described are single variable-domain antibodies derived from camelids that bind to BACE1 and are capable of inhibiting the activity of BACE1. The antibodies can be used for research and medical applications. Specific applications include the use of BACE1-specific antibodies for the treatment of Alzheimer's disease.
40872428	amino acid sequence,serum protein,serum proteins,fusion protein,peptides capable of	US8217140	PEPTIDES CAPABLE OF BINDING TO SERUM PROTEINS AND COMPOUNDS, CONSTRUCTS AND POLYPEPTIDES COMPRISING THE SAME	The present invention relates to amino acid sequences that are capable of binding to serum proteins; to compounds, proteins, polypeptides, fusion proteins or constructs comprising or essentially consisting of such amino acid sequences; to nucleic acids that encode such amino acid sequences, compounds, proteins, polypeptides, fusion proteins or constructs; to compositions, and in particular pharmaceutical compositions, that comprise such amino acid sequences, compounds, proteins, polypeptides, fusion proteins or constructs; and to uses of such amino acid sequences, compounds, proteins, polypeptides, fusion proteins or constructs.
40892207	her2/neu	WO2010130677	VHH ANTIBODY FRAGMENTS THAT MIMIC HER-2/NEU	This invention relates to VHH antibody fragments characterized by the ability to mimic HER-2/neu tumor associated antigen. These VHH antibody fragments are promising candidates for active immunotherapy for cancer patients bearing tumors positive for HER-2/neu.
40904147	bispecific domain antibody,glp1,serum albumin,antigenbinding fragment	EP2769990	Bispecific domain antibodies targeting serum albumin and GLP-1 or PYY	Drug fusions and conjugates that contain an incretin therapeutic or diagnostic agent that is fused or conjugated to an antigen-binding fragment of an antibody that binds serum albumin. The conjugates and fusion have a longer in vivo half life in comparison with the unconjugated or unfused therapeutic or diagnostic agent.
40937569	amino acid sequence,integrins,integrin	WO2009135953	AMINO ACID SEQUENCES DIRECTED AGAINST INTEGRINS AND USES THEREOF	Description of amino acid sequences that are directed against (as defined herein) Integrins, as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences.
40974643	\u201camino acid sequence,gpcr,gprotein couple receptor,cxcr4,cxcr7,spanning transmembrane protein,transmembrane protein	US9212226	Amino acid sequences directed against CXCR4 and other GPCRs and compounds comprising the same	The present invention relates to amino acid sequences that are directed against (as defined herein) G-protein coupled receptors (GPCRs) and in particular to CXCR4 and CXCR7, as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences (also referred to herein as \u201camino acid sequences of the invention\u201d, \u201ccompounds of the invention\u201d, and \u201cpolypeptides of the invention\u201d, respectively). Furthermore, the invention provides a new method of making amino acid sequences that are directed against transmembrane protein, and in particular for multiple spanning transmembrane proteins for which the native conformation cannot be reproduced in other \u201cin vitro\u201d system (e.g. GPCRs in general).
40983533	single variable domain	WO2008074868	ORAL DELIVERY OF POLYPEPTIDES	The present invention relates to the oral delivery of therapeutic polypeptides comprising one or more single variable domain(s).
41007455	revprotein	WO2009147196	HIV-REV-MULTIMERIZATION INHIBITING NANOBODIES	The present invention relates to an anti-HIV-Rev antibody. More specifically, the invention relates to a nanobody that is able to inhibit the multimerization of the Revprotein, and by this, it inhibits the nuclear export of single-spliced and unspliced HIV-1 m RNA, and can be used as an anti-HIV agent. The invention relates further to the use of the antibody in the screening of compounds that can inhibit HIV-Rev multimerization.
41050975	tolllike receptor,tolllike receptors	WO2009138494	AMINO ACID SEQUENCES DIRECTED AGAINST TOLL-LIKE RECEPTORS AND THEIR USE FOR THE TREATMENT OF DISEASES RELATED TO TOLL-LIKE RECEPTORS	The present invention relates to amino acid sequences that are directed against and/or that can specifically bind to Toll-like receptors, as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences.
41055279	envelope protein	US11518799B2	Amino acid sequences directed against envelope proteins of a virus and polypeptides comprising the same for the treatment of viral diseases	The present invention relates in part to amino acid sequences that are directed against and/or that can specifically bind to an envelope protein of a virus, as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences.
41133465	igfir,epidermal growth factor receptor,egfr,insulin growth factori receptor	US20090252681	Nanobodies and Polypeptides Against EGFR and IGF-IR	The invention relates to polypeptides and Nanobodies against Epidermal Growth Factor Receptor (EGFR) and/or Insulin Growth Factor-I Receptor (IGF-IR). The invention also relates to nucleic acids encoding such Nanobodies and polypeptides; to methods for preparing such Nanobodies and polypeptides; to host cells expressing or capable of expressing such Nanobodies or polypeptides; to compositions, and in particular to pharmaceutical compositions, that comprise such Nanobodies, polypeptides, nucleic acids and/or host cells; and to uses of such Nanobodies, polypeptides, nucleic acids, host cells and/or compositions, in particular for prophylactic, therapeutic or diagnostic purposes.
41211985	lox1,against multitarget scavenger receptors,srb1,cd36,sra1,galectin1	US9034325	AMINO ACID SEQUENCES DIRECTED AGAINST MULTITARGET SCAVENGER RECEPTORS AND POLYPEPTIDES	"The present invention relates to amino acid sequences that are directed against (as defined herein) multitarget scavenger receptors such as e.g. Lox-1, RAGE, CD36, SR-A1, SR-B1, galectin-1, as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences (also referred to herein as \amino acid sequences of the invention\"", \""compounds of the invention\"", and \""polypeptides of the invention\"", respectively)."""
41213298	nucleic acid molecule,pcna	US8999669	DETECTION AND VISUALIZATION OF THE CELL CYCLE IN LIVING CELLS	The present invention relates to a nucleic acid molecule encoding a polypeptide specifically binding to proliferating cell nuclear antigen (PCNA). The present invention also relates to a vector comprising the nucleic acid molecule of the invention, a host cell comprising the nucleic acid molecule of or the vector of the invention and a method of detecting the amount and/or location of PCNA in living cells, a method of screening for compounds having an effect on the cell cycle.
41278727	camelid heavy chain antibody,variable domains,variable domain,camelid heavychain antibodies	WO2009150539	VARIABLE DOMAINS OF CAMELID HEAVY-CHAIN ANTIBODIES DIRECTED AGAINST ANDROCTONUS AUTRALIS HECTOR TOXINS	The present invention relates to variable domains of camelid heavy- chain antibodies directed against Androctonus australis hector (Aah) toxins and uses thereof for preparing therapeutic or diagnostic agents.
41316544	cd80,monovalent anti-cd28 antibody single variable domain,cd28,monovalent polypeptide domain,anti-cd28 antibody single variable domain,cd86,antibody single variable domain	WO2010007376	COMPOSITIONS MONOVALENT FOR CD28 BINDING AND METHODS OF USE	The disclosure relates to a monovalent polypeptide domain which specifically binds CD28, as well as to an antagonist of CD28, where the antagonist comprises a monovalent polypeptide domain which specifically binds CD28. This disclosure encompasses monovalent polypeptide domains comprising an antibody single variable domain that monovalently binds CD28. An antibody single variable domain that is monovalent for binding of CD28 can inhibit CD28 activity. In one aspect, a monovalent anti-CD28 antibody single variable domain consists of or comprises an antibody single variable domain that specifically binds and antagonizes the activity of CD28, in an aspect, without substantially agonizing CD28 activity. In another aspect, the monovalent anti-CD28 antibody single variable domain is a human antibody single variable domain. The disclosure further encompasses methods of antagonizing CD80 and/or CD86 interactions with CD28 in an individual and methods of treating diseases or disorders involving CD80 and/or CD86 interactions with CD28, the methods involving administering a monovalent anti-CD28 antibody single variable domain to the individual.
41397480	il15,il15 receptor	WO2010037818	AMINO ACID SEQUENCES DIRECTED AGAINST IL-15 AND/OR THE IL-15 RECEPTOR AND POLYPEPTIDES COMPRISING THE SAME FOR THE TREATMENT OF DISEASES AND DISORDERS ASSOCIATED WITH IL-15 MEDIATED SIGNALLING	"The present invention relates to amino acid sequences that are directed against IL-15 and/or the IL-15 receptor (as defined herein), as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences (also referred to herein as \amino acid sequences of the invention\"", \""compounds of the invention\"", and '\""polypeptides of the invention\"", respectively)."""
41479127	il18,il 18 receptor,amino acid sequence,il18 receptor,il 18	WO2010040736	AMINO ACID SEQUENCES DIRECTED AGAINST IL18 AND/OR THE IL-18 RECEPTOR AND POLYPEPTIDES COMPRISING THE SAME FOR THE TREATMENT OF DISEASES AND/OR DISORDERS ASSOCIATED WITH IL-18 MEDIATED SIGNALING	The present invention relates to amino acid sequences that are directed against (as defined herein) IL- 18 and/or the IL- 18 receptor, as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more such amino acid sequences (also referred to herein as amino acid sequences of the invention compounds of the invention, polypeptides of the invention, respectively).
41479255	targetable protein,dynactin1	WO2010037856	DYNACTIN-1/p150glued AS A TARGET FOR TUMOR DIAGNOSIS AND THERAPY AND A METHOD FOR IDENTIFYING TARGETABLE DISEASE-RELATED PROTEINS	The present invention relates to dynactin-1/p150glued for use as a targetable protein in the treatment or diagnosis of disorders that involve membranous expression of dynactin-1/p150glued. Diagnosis is suitably effected by detecting the presence of dynactin-1/p150glued in the body or a bodily tissue or fluid, whereas treatment is effected by targeting dynactin-1/p150glued for delivery of therapeutics to the site where treatment is needed. The invention further relates to the use of molecules that bind dynactin-1/p150glued, a nucleic acid encoding dynactin-1/p150glued or a ligand of dynactin-1/p150glued for the preparation of a therapeutical composition for the treatment or diagnosis of disorders that involve expression of dynactin-1/p150glued Dl. The disorders comprise disorders in which dynactin-1 P150/glued is expressed on the luminal surface of blood vessels in tumors and other pathologies which are characterized by membranous expression of dynactin-1/p150glued on blood vessels.
41795980	novel humanized antibody	US9540437	Humanized antibodies	The invention relates to novel humanized antibodies derived from the conventional antibody repertoire of species in the family Camelidae.
42026361	angptl3,tie2,angptl6,angiopoietin/tie family,ang2,angptl4,ang1,angptl5,tie1,ang4,angptl1,ang3,angptl2	US9822175	Amino acid sequences directed against the angiopoietin/tie system and polypeptides comprising the same for the treatment of diseases and disorders related to angiogenesis	The present invention relates to amino acid sequences that are directed against proteins from the group of the Angiopoietin/Tie family such as Tie1, Tie2, Ang1, Ang2, Ang3, Ang4, Angptl1, Angptl2, Angptl3, Angptl4, Angptl5, Angptl6, as well as to compounds or constructs, and in particular proteins and polypeptides, that comprise or essentially consist of one or more of such amino acid sequences.
42039904	make such antibody,antibodies	US20100092470	ANTIBODIES, ANALOGS AND USES THEREOF	Camelid and shark heavy chain only antibodies and their analogs are disclosed. Methods of making such antibodies and their analogs are also provided. Also provided are kits, and methods of using such antibodies and their analogs in diagnostics, prognostics, therapy, and simultaneous diagnosis and therapy.
42062624	growth factor,vhh	US9340605	VHH for application in tissue repair, organ regeneration, organ replacement and tissue engineering	The present invention relates to a VHH which binds to a growth factor or is an antagonist for a growth factor, or binds to an implant.
